=== Neural Network Training Log ===
Epoch: 0 | Error: 2.0027 | Accuracy: 49.93%
Epoch: 1000 | Error: 2.0197 | Accuracy: 49.51%
Epoch: 2000 | Error: 1.8868 | Accuracy: 52.83%
Epoch: 3000 | Error: 1.4687 | Accuracy: 63.28%
Epoch: 4000 | Error: 1.4339 | Accuracy: 64.15%
Epoch: 5000 | Error: 1.4066 | Accuracy: 64.83%
Epoch: 6000 | Error: 1.3919 | Accuracy: 65.20%
Epoch: 7000 | Error: 1.3838 | Accuracy: 65.41%
Epoch: 8000 | Error: 1.3786 | Accuracy: 65.54%
Epoch: 9000 | Error: 1.3749 | Accuracy: 65.63%
Epoch: 10000 | Error: 1.3721 | Accuracy: 65.70%
Epoch: 11000 | Error: 1.3699 | Accuracy: 65.75%
Epoch: 12000 | Error: 1.3681 | Accuracy: 65.80%
Epoch: 13000 | Error: 1.3666 | Accuracy: 65.83%
Epoch: 14000 | Error: 1.3653 | Accuracy: 65.87%
Epoch: 15000 | Error: 1.3642 | Accuracy: 65.89%
Epoch: 16000 | Error: 1.3632 | Accuracy: 65.92%
Epoch: 17000 | Error: 1.3624 | Accuracy: 65.94%
Epoch: 18000 | Error: 1.3616 | Accuracy: 65.96%
Epoch: 19000 | Error: 1.3609 | Accuracy: 65.98%
Epoch: 20000 | Error: 1.3603 | Accuracy: 65.99%
Epoch: 21000 | Error: 1.3597 | Accuracy: 66.01%
Epoch: 22000 | Error: 1.3592 | Accuracy: 66.02%
Epoch: 23000 | Error: 1.3587 | Accuracy: 66.03%
Epoch: 24000 | Error: 1.3583 | Accuracy: 66.04%
Epoch: 25000 | Error: 1.3579 | Accuracy: 66.05%
Epoch: 26000 | Error: 1.3575 | Accuracy: 66.06%
Epoch: 27000 | Error: 1.3571 | Accuracy: 66.07%
Epoch: 28000 | Error: 1.3568 | Accuracy: 66.08%
Epoch: 29000 | Error: 1.3565 | Accuracy: 66.09%
Epoch: 30000 | Error: 1.3562 | Accuracy: 66.10%
Epoch: 31000 | Error: 1.3559 | Accuracy: 66.10%
Epoch: 32000 | Error: 1.3556 | Accuracy: 66.11%
Epoch: 33000 | Error: 1.3554 | Accuracy: 66.12%
Epoch: 34000 | Error: 1.3551 | Accuracy: 66.12%
Epoch: 35000 | Error: 1.3549 | Accuracy: 66.13%
Epoch: 36000 | Error: 1.3547 | Accuracy: 66.13%
Epoch: 37000 | Error: 1.3545 | Accuracy: 66.14%
Epoch: 38000 | Error: 1.3543 | Accuracy: 66.14%
Epoch: 39000 | Error: 1.3541 | Accuracy: 66.15%
