=== Neural Network Training Log ===
Epoch: 0 | Error: 2.0357 | Accuracy: 49.11%
Epoch: 1000 | Error: 1.9961 | Accuracy: 50.10%
Epoch: 2000 | Error: 1.6534 | Accuracy: 58.66%
Epoch: 3000 | Error: 1.6287 | Accuracy: 59.28%
Epoch: 4000 | Error: 1.6219 | Accuracy: 59.45%
Epoch: 5000 | Error: 1.6184 | Accuracy: 59.54%
Epoch: 6000 | Error: 1.6162 | Accuracy: 59.60%
Epoch: 7000 | Error: 1.6146 | Accuracy: 59.63%
Epoch: 8000 | Error: 1.6135 | Accuracy: 59.66%
Epoch: 9000 | Error: 1.6127 | Accuracy: 59.68%
Epoch: 10000 | Error: 1.6120 | Accuracy: 59.70%
Epoch: 11000 | Error: 1.6115 | Accuracy: 59.71%
Epoch: 12000 | Error: 1.6110 | Accuracy: 59.72%
Epoch: 13000 | Error: 1.6107 | Accuracy: 59.73%
Epoch: 14000 | Error: 1.6103 | Accuracy: 59.74%
Epoch: 15000 | Error: 1.6101 | Accuracy: 59.75%
Epoch: 16000 | Error: 1.6098 | Accuracy: 59.75%
Epoch: 17000 | Error: 1.6096 | Accuracy: 59.76%
Epoch: 18000 | Error: 1.6095 | Accuracy: 59.76%
Epoch: 19000 | Error: 1.6093 | Accuracy: 59.77%
Epoch: 20000 | Error: 1.6091 | Accuracy: 59.77%
Epoch: 21000 | Error: 1.6090 | Accuracy: 59.77%
Epoch: 22000 | Error: 1.6089 | Accuracy: 59.78%
Epoch: 23000 | Error: 1.6088 | Accuracy: 59.78%
Epoch: 24000 | Error: 1.6087 | Accuracy: 59.78%
Epoch: 25000 | Error: 1.6086 | Accuracy: 59.79%
Epoch: 26000 | Error: 1.6085 | Accuracy: 59.79%
Epoch: 27000 | Error: 1.6084 | Accuracy: 59.79%
Epoch: 28000 | Error: 1.6084 | Accuracy: 59.79%
Epoch: 29000 | Error: 1.6083 | Accuracy: 59.79%
Epoch: 30000 | Error: 1.6082 | Accuracy: 59.79%
Epoch: 31000 | Error: 1.6082 | Accuracy: 59.80%
Epoch: 32000 | Error: 1.6081 | Accuracy: 59.80%
Epoch: 33000 | Error: 1.6081 | Accuracy: 59.80%
Epoch: 34000 | Error: 1.6080 | Accuracy: 59.80%
Epoch: 35000 | Error: 1.6080 | Accuracy: 59.80%
Epoch: 36000 | Error: 1.6079 | Accuracy: 59.80%
Epoch: 37000 | Error: 1.6079 | Accuracy: 59.80%
Epoch: 38000 | Error: 1.6079 | Accuracy: 59.80%
Epoch: 39000 | Error: 1.6078 | Accuracy: 59.80%
Epoch: 40000 | Error: 1.6078 | Accuracy: 59.81%
Epoch: 41000 | Error: 1.6077 | Accuracy: 59.81%
Epoch: 42000 | Error: 1.6077 | Accuracy: 59.81%
Epoch: 43000 | Error: 1.6077 | Accuracy: 59.81%
Epoch: 44000 | Error: 1.6077 | Accuracy: 59.81%
Epoch: 45000 | Error: 1.6076 | Accuracy: 59.81%
Epoch: 46000 | Error: 1.6076 | Accuracy: 59.81%
Epoch: 47000 | Error: 1.6076 | Accuracy: 59.81%
Epoch: 48000 | Error: 1.6076 | Accuracy: 59.81%
Epoch: 49000 | Error: 1.6075 | Accuracy: 59.81%
Epoch: 50000 | Error: 1.6075 | Accuracy: 59.81%
Epoch: 51000 | Error: 1.6075 | Accuracy: 59.81%
Epoch: 52000 | Error: 1.6075 | Accuracy: 59.81%
Epoch: 53000 | Error: 1.6075 | Accuracy: 59.81%
Epoch: 54000 | Error: 1.6074 | Accuracy: 59.81%
Epoch: 55000 | Error: 1.6074 | Accuracy: 59.81%
Epoch: 56000 | Error: 1.6074 | Accuracy: 59.81%
Epoch: 57000 | Error: 1.6074 | Accuracy: 59.82%
Epoch: 58000 | Error: 1.6074 | Accuracy: 59.82%
Epoch: 59000 | Error: 1.6074 | Accuracy: 59.82%
Epoch: 60000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 61000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 62000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 63000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 64000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 65000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 66000 | Error: 1.6073 | Accuracy: 59.82%
Epoch: 67000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 68000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 69000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 70000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 71000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 72000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 73000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 74000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 75000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 76000 | Error: 1.6072 | Accuracy: 59.82%
Epoch: 77000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 78000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 79000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 80000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 81000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 82000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 83000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 84000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 85000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 86000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 87000 | Error: 1.6071 | Accuracy: 59.82%
Epoch: 88000 | Error: 1.6071 | Accuracy: 59.82%
