=== Neural Network Training Log ===
Epoch: 0 | Error: 2.0273 | Accuracy: 49.32%
Epoch: 1000 | Error: 2.0271 | Accuracy: 49.32%
Epoch: 2000 | Error: 1.8029 | Accuracy: 54.93%
Epoch: 3000 | Error: 1.5103 | Accuracy: 62.24%
Epoch: 4000 | Error: 1.4297 | Accuracy: 64.26%
Epoch: 5000 | Error: 1.3898 | Accuracy: 65.25%
Epoch: 6000 | Error: 1.3648 | Accuracy: 65.88%
Epoch: 7000 | Error: 1.3470 | Accuracy: 66.32%
Epoch: 8000 | Error: 1.3335 | Accuracy: 66.66%
Epoch: 9000 | Error: 1.3228 | Accuracy: 66.93%
Epoch: 10000 | Error: 1.3140 | Accuracy: 67.15%
Epoch: 11000 | Error: 1.3065 | Accuracy: 67.34%
Epoch: 12000 | Error: 1.3001 | Accuracy: 67.50%
Epoch: 13000 | Error: 1.2945 | Accuracy: 67.64%
Epoch: 14000 | Error: 1.2895 | Accuracy: 67.76%
Epoch: 15000 | Error: 1.2851 | Accuracy: 67.87%
Epoch: 16000 | Error: 1.2811 | Accuracy: 67.97%
Epoch: 17000 | Error: 1.2775 | Accuracy: 68.06%
Epoch: 18000 | Error: 1.2742 | Accuracy: 68.14%
Epoch: 19000 | Error: 1.2712 | Accuracy: 68.22%
Epoch: 20000 | Error: 1.2684 | Accuracy: 68.29%
Epoch: 21000 | Error: 1.2658 | Accuracy: 68.35%
Epoch: 22000 | Error: 1.2634 | Accuracy: 68.42%
Epoch: 23000 | Error: 1.2611 | Accuracy: 68.47%
Epoch: 24000 | Error: 1.2590 | Accuracy: 68.52%
Epoch: 25000 | Error: 1.2570 | Accuracy: 68.57%
Epoch: 26000 | Error: 1.2551 | Accuracy: 68.62%
Epoch: 27000 | Error: 1.2534 | Accuracy: 68.67%
Epoch: 28000 | Error: 1.2517 | Accuracy: 68.71%
Epoch: 29000 | Error: 1.2501 | Accuracy: 68.75%
Epoch: 30000 | Error: 1.2486 | Accuracy: 68.79%
Epoch: 31000 | Error: 1.2471 | Accuracy: 68.82%
Epoch: 32000 | Error: 1.2457 | Accuracy: 68.86%
Epoch: 33000 | Error: 1.2444 | Accuracy: 68.89%
Epoch: 34000 | Error: 1.2432 | Accuracy: 68.92%
Epoch: 35000 | Error: 1.2420 | Accuracy: 68.95%
Epoch: 36000 | Error: 1.2408 | Accuracy: 68.98%
Epoch: 37000 | Error: 1.2397 | Accuracy: 69.01%
Epoch: 38000 | Error: 1.2386 | Accuracy: 69.03%
Epoch: 39000 | Error: 1.2376 | Accuracy: 69.06%
Epoch: 40000 | Error: 1.2366 | Accuracy: 69.09%
Epoch: 41000 | Error: 1.2356 | Accuracy: 69.11%
Epoch: 42000 | Error: 1.2347 | Accuracy: 69.13%
Epoch: 43000 | Error: 1.2338 | Accuracy: 69.15%
Epoch: 44000 | Error: 1.2330 | Accuracy: 69.18%
Epoch: 45000 | Error: 1.2321 | Accuracy: 69.20%
Epoch: 46000 | Error: 1.2313 | Accuracy: 69.22%
Epoch: 47000 | Error: 1.2305 | Accuracy: 69.24%
Epoch: 48000 | Error: 1.2298 | Accuracy: 69.26%
Epoch: 49000 | Error: 1.2290 | Accuracy: 69.27%
Epoch: 50000 | Error: 1.2283 | Accuracy: 69.29%
Epoch: 51000 | Error: 1.2276 | Accuracy: 69.31%
Epoch: 52000 | Error: 1.2269 | Accuracy: 69.33%
Epoch: 53000 | Error: 1.2263 | Accuracy: 69.34%
Epoch: 54000 | Error: 1.2256 | Accuracy: 69.36%
Epoch: 55000 | Error: 1.2250 | Accuracy: 69.37%
Epoch: 56000 | Error: 1.2244 | Accuracy: 69.39%
Epoch: 57000 | Error: 1.2238 | Accuracy: 69.40%
Epoch: 58000 | Error: 1.2232 | Accuracy: 69.42%
Epoch: 59000 | Error: 1.2227 | Accuracy: 69.43%
Epoch: 60000 | Error: 1.2221 | Accuracy: 69.45%
Epoch: 61000 | Error: 1.2216 | Accuracy: 69.46%
Epoch: 62000 | Error: 1.2211 | Accuracy: 69.47%
Epoch: 63000 | Error: 1.2205 | Accuracy: 69.49%
Epoch: 64000 | Error: 1.2200 | Accuracy: 69.50%
Epoch: 65000 | Error: 1.2196 | Accuracy: 69.51%
Epoch: 66000 | Error: 1.2191 | Accuracy: 69.52%
Epoch: 67000 | Error: 1.2186 | Accuracy: 69.53%
Epoch: 68000 | Error: 1.2182 | Accuracy: 69.55%
Epoch: 69000 | Error: 1.2177 | Accuracy: 69.56%
Epoch: 70000 | Error: 1.2173 | Accuracy: 69.57%
Epoch: 71000 | Error: 1.2168 | Accuracy: 69.58%
Epoch: 72000 | Error: 1.2164 | Accuracy: 69.59%
Epoch: 73000 | Error: 1.2160 | Accuracy: 69.60%
Epoch: 74000 | Error: 1.2156 | Accuracy: 69.61%
Epoch: 75000 | Error: 1.2152 | Accuracy: 69.62%
Epoch: 76000 | Error: 1.2148 | Accuracy: 69.63%
Epoch: 77000 | Error: 1.2144 | Accuracy: 69.64%
Epoch: 78000 | Error: 1.2141 | Accuracy: 69.65%
Epoch: 79000 | Error: 1.2137 | Accuracy: 69.66%
Epoch: 80000 | Error: 1.2133 | Accuracy: 69.67%
Epoch: 81000 | Error: 1.2130 | Accuracy: 69.68%
Epoch: 82000 | Error: 1.2126 | Accuracy: 69.68%
Epoch: 83000 | Error: 1.2123 | Accuracy: 69.69%
Epoch: 84000 | Error: 1.2119 | Accuracy: 69.70%
Epoch: 85000 | Error: 1.2116 | Accuracy: 69.71%
Epoch: 86000 | Error: 1.2113 | Accuracy: 69.72%
Epoch: 87000 | Error: 1.2110 | Accuracy: 69.73%
Epoch: 88000 | Error: 1.2106 | Accuracy: 69.73%
Epoch: 89000 | Error: 1.2103 | Accuracy: 69.74%
Epoch: 90000 | Error: 1.2100 | Accuracy: 69.75%
Epoch: 91000 | Error: 1.2097 | Accuracy: 69.76%
Epoch: 92000 | Error: 1.2094 | Accuracy: 69.76%
Epoch: 93000 | Error: 1.2092 | Accuracy: 69.77%
Epoch: 94000 | Error: 1.2089 | Accuracy: 69.78%
Epoch: 95000 | Error: 1.2086 | Accuracy: 69.79%
Epoch: 96000 | Error: 1.2083 | Accuracy: 69.79%
Epoch: 97000 | Error: 1.2080 | Accuracy: 69.80%
Epoch: 98000 | Error: 1.2078 | Accuracy: 69.81%
Epoch: 99000 | Error: 1.2075 | Accuracy: 69.81%
Epoch: 100000 | Error: 1.2072 | Accuracy: 69.82%
Epoch: 101000 | Error: 1.2070 | Accuracy: 69.83%
Epoch: 102000 | Error: 1.2067 | Accuracy: 69.83%
Epoch: 103000 | Error: 1.2065 | Accuracy: 69.84%
Epoch: 104000 | Error: 1.2062 | Accuracy: 69.84%
Epoch: 105000 | Error: 1.2060 | Accuracy: 69.85%
Epoch: 106000 | Error: 1.2058 | Accuracy: 69.86%
Epoch: 107000 | Error: 1.2055 | Accuracy: 69.86%
Epoch: 108000 | Error: 1.2053 | Accuracy: 69.87%
Epoch: 109000 | Error: 1.2051 | Accuracy: 69.87%
Epoch: 110000 | Error: 1.2048 | Accuracy: 69.88%
Epoch: 111000 | Error: 1.2046 | Accuracy: 69.88%
Epoch: 112000 | Error: 1.2044 | Accuracy: 69.89%
Epoch: 113000 | Error: 1.2042 | Accuracy: 69.90%
Epoch: 114000 | Error: 1.2040 | Accuracy: 69.90%
Epoch: 115000 | Error: 1.2038 | Accuracy: 69.91%
Epoch: 116000 | Error: 1.2035 | Accuracy: 69.91%
Epoch: 117000 | Error: 1.2033 | Accuracy: 69.92%
Epoch: 118000 | Error: 1.2031 | Accuracy: 69.92%
Epoch: 119000 | Error: 1.2029 | Accuracy: 69.93%
Epoch: 120000 | Error: 1.2027 | Accuracy: 69.93%
Epoch: 121000 | Error: 1.2025 | Accuracy: 69.94%
Epoch: 122000 | Error: 1.2023 | Accuracy: 69.94%
Epoch: 123000 | Error: 1.2022 | Accuracy: 69.95%
Epoch: 124000 | Error: 1.2020 | Accuracy: 69.95%
Epoch: 125000 | Error: 1.2018 | Accuracy: 69.96%
Epoch: 126000 | Error: 1.2016 | Accuracy: 69.96%
Epoch: 127000 | Error: 1.2014 | Accuracy: 69.96%
Epoch: 128000 | Error: 1.2012 | Accuracy: 69.97%
Epoch: 129000 | Error: 1.2011 | Accuracy: 69.97%
Epoch: 130000 | Error: 1.2009 | Accuracy: 69.98%
Epoch: 131000 | Error: 1.2007 | Accuracy: 69.98%
Epoch: 132000 | Error: 1.2005 | Accuracy: 69.99%
Epoch: 133000 | Error: 1.2004 | Accuracy: 69.99%
Epoch: 134000 | Error: 1.2002 | Accuracy: 70.00%
Epoch: 135000 | Error: 1.2000 | Accuracy: 70.00%
Epoch: 136000 | Error: 1.1999 | Accuracy: 70.00%
Epoch: 137000 | Error: 1.1997 | Accuracy: 70.01%
Epoch: 138000 | Error: 1.1995 | Accuracy: 70.01%
Epoch: 139000 | Error: 1.1994 | Accuracy: 70.02%
Epoch: 140000 | Error: 1.1992 | Accuracy: 70.02%
Epoch: 141000 | Error: 1.1991 | Accuracy: 70.02%
Epoch: 142000 | Error: 1.1989 | Accuracy: 70.03%
Epoch: 143000 | Error: 1.1988 | Accuracy: 70.03%
Epoch: 144000 | Error: 1.1986 | Accuracy: 70.03%
Epoch: 145000 | Error: 1.1985 | Accuracy: 70.04%
Epoch: 146000 | Error: 1.1983 | Accuracy: 70.04%
Epoch: 147000 | Error: 1.1982 | Accuracy: 70.05%
Epoch: 148000 | Error: 1.1980 | Accuracy: 70.05%
Epoch: 149000 | Error: 1.1979 | Accuracy: 70.05%
Epoch: 150000 | Error: 1.1977 | Accuracy: 70.06%
Epoch: 151000 | Error: 1.1976 | Accuracy: 70.06%
Epoch: 152000 | Error: 1.1975 | Accuracy: 70.06%
Epoch: 153000 | Error: 1.1973 | Accuracy: 70.07%
Epoch: 154000 | Error: 1.1972 | Accuracy: 70.07%
Epoch: 155000 | Error: 1.1971 | Accuracy: 70.07%
Epoch: 156000 | Error: 1.1969 | Accuracy: 70.08%
Epoch: 157000 | Error: 1.1968 | Accuracy: 70.08%
Epoch: 158000 | Error: 1.1967 | Accuracy: 70.08%
Epoch: 159000 | Error: 1.1965 | Accuracy: 70.09%
Epoch: 160000 | Error: 1.1964 | Accuracy: 70.09%
Epoch: 161000 | Error: 1.1963 | Accuracy: 70.09%
Epoch: 162000 | Error: 1.1961 | Accuracy: 70.10%
Epoch: 163000 | Error: 1.1960 | Accuracy: 70.10%
Epoch: 164000 | Error: 1.1959 | Accuracy: 70.10%
Epoch: 165000 | Error: 1.1958 | Accuracy: 70.11%
Epoch: 166000 | Error: 1.1957 | Accuracy: 70.11%
Epoch: 167000 | Error: 1.1955 | Accuracy: 70.11%
Epoch: 168000 | Error: 1.1954 | Accuracy: 70.11%
Epoch: 169000 | Error: 1.1953 | Accuracy: 70.12%
Epoch: 170000 | Error: 1.1952 | Accuracy: 70.12%
Epoch: 171000 | Error: 1.1951 | Accuracy: 70.12%
Epoch: 172000 | Error: 1.1950 | Accuracy: 70.13%
Epoch: 173000 | Error: 1.1948 | Accuracy: 70.13%
Epoch: 174000 | Error: 1.1947 | Accuracy: 70.13%
Epoch: 175000 | Error: 1.1946 | Accuracy: 70.13%
Epoch: 176000 | Error: 1.1945 | Accuracy: 70.14%
Epoch: 177000 | Error: 1.1944 | Accuracy: 70.14%
Epoch: 178000 | Error: 1.1943 | Accuracy: 70.14%
Epoch: 179000 | Error: 1.1942 | Accuracy: 70.15%
Epoch: 180000 | Error: 1.1941 | Accuracy: 70.15%
Epoch: 181000 | Error: 1.1940 | Accuracy: 70.15%
Epoch: 182000 | Error: 1.1939 | Accuracy: 70.15%
Epoch: 183000 | Error: 1.1938 | Accuracy: 70.16%
Epoch: 184000 | Error: 1.1937 | Accuracy: 70.16%
Epoch: 185000 | Error: 1.1936 | Accuracy: 70.16%
Epoch: 186000 | Error: 1.1935 | Accuracy: 70.16%
Epoch: 187000 | Error: 1.1934 | Accuracy: 70.17%
Epoch: 188000 | Error: 1.1933 | Accuracy: 70.17%
Epoch: 189000 | Error: 1.1932 | Accuracy: 70.17%
Epoch: 190000 | Error: 1.1931 | Accuracy: 70.17%
Epoch: 191000 | Error: 1.1930 | Accuracy: 70.18%
Epoch: 192000 | Error: 1.1929 | Accuracy: 70.18%
Epoch: 193000 | Error: 1.1928 | Accuracy: 70.18%
Epoch: 194000 | Error: 1.1927 | Accuracy: 70.18%
Epoch: 195000 | Error: 1.1926 | Accuracy: 70.19%
Epoch: 196000 | Error: 1.1925 | Accuracy: 70.19%
Epoch: 197000 | Error: 1.1924 | Accuracy: 70.19%
Epoch: 198000 | Error: 1.1923 | Accuracy: 70.19%
Epoch: 199000 | Error: 1.1922 | Accuracy: 70.19%
Epoch: 200000 | Error: 1.1921 | Accuracy: 70.20%
Epoch: 201000 | Error: 1.1920 | Accuracy: 70.20%
Epoch: 202000 | Error: 1.1919 | Accuracy: 70.20%
Epoch: 203000 | Error: 1.1919 | Accuracy: 70.20%
Epoch: 204000 | Error: 1.1918 | Accuracy: 70.21%
Epoch: 205000 | Error: 1.1917 | Accuracy: 70.21%
Epoch: 206000 | Error: 1.1916 | Accuracy: 70.21%
Epoch: 207000 | Error: 1.1915 | Accuracy: 70.21%
Epoch: 208000 | Error: 1.1914 | Accuracy: 70.21%
Epoch: 209000 | Error: 1.1913 | Accuracy: 70.22%
Epoch: 210000 | Error: 1.1913 | Accuracy: 70.22%
Epoch: 211000 | Error: 1.1912 | Accuracy: 70.22%
Epoch: 212000 | Error: 1.1911 | Accuracy: 70.22%
Epoch: 213000 | Error: 1.1910 | Accuracy: 70.22%
Epoch: 214000 | Error: 1.1909 | Accuracy: 70.23%
Epoch: 215000 | Error: 1.1908 | Accuracy: 70.23%
Epoch: 216000 | Error: 1.1908 | Accuracy: 70.23%
Epoch: 217000 | Error: 1.1907 | Accuracy: 70.23%
Epoch: 218000 | Error: 1.1906 | Accuracy: 70.23%
Epoch: 219000 | Error: 1.1905 | Accuracy: 70.24%
Epoch: 220000 | Error: 1.1904 | Accuracy: 70.24%
Epoch: 221000 | Error: 1.1904 | Accuracy: 70.24%
Epoch: 222000 | Error: 1.1903 | Accuracy: 70.24%
Epoch: 223000 | Error: 1.1902 | Accuracy: 70.24%
Epoch: 224000 | Error: 1.1901 | Accuracy: 70.25%
Epoch: 225000 | Error: 1.1901 | Accuracy: 70.25%
Epoch: 226000 | Error: 1.1900 | Accuracy: 70.25%
Epoch: 227000 | Error: 1.1899 | Accuracy: 70.25%
Epoch: 228000 | Error: 1.1898 | Accuracy: 70.25%
Epoch: 229000 | Error: 1.1898 | Accuracy: 70.26%
Epoch: 230000 | Error: 1.1897 | Accuracy: 70.26%
Epoch: 231000 | Error: 1.1896 | Accuracy: 70.26%
Epoch: 232000 | Error: 1.1896 | Accuracy: 70.26%
Epoch: 233000 | Error: 1.1895 | Accuracy: 70.26%
Epoch: 234000 | Error: 1.1894 | Accuracy: 70.26%
Epoch: 235000 | Error: 1.1894 | Accuracy: 70.27%
Epoch: 236000 | Error: 1.1893 | Accuracy: 70.27%
Epoch: 237000 | Error: 1.1892 | Accuracy: 70.27%
Epoch: 238000 | Error: 1.1891 | Accuracy: 70.27%
Epoch: 239000 | Error: 1.1891 | Accuracy: 70.27%
Epoch: 240000 | Error: 1.1890 | Accuracy: 70.27%
Epoch: 241000 | Error: 1.1889 | Accuracy: 70.28%
Epoch: 242000 | Error: 1.1889 | Accuracy: 70.28%
Epoch: 243000 | Error: 1.1888 | Accuracy: 70.28%
Epoch: 244000 | Error: 1.1887 | Accuracy: 70.28%
Epoch: 245000 | Error: 1.1887 | Accuracy: 70.28%
Epoch: 246000 | Error: 1.1886 | Accuracy: 70.28%
Epoch: 247000 | Error: 1.1886 | Accuracy: 70.29%
Epoch: 248000 | Error: 1.1885 | Accuracy: 70.29%
Epoch: 249000 | Error: 1.1884 | Accuracy: 70.29%
Epoch: 250000 | Error: 1.1884 | Accuracy: 70.29%
Epoch: 251000 | Error: 1.1883 | Accuracy: 70.29%
Epoch: 252000 | Error: 1.1882 | Accuracy: 70.29%
Epoch: 253000 | Error: 1.1882 | Accuracy: 70.30%
Epoch: 254000 | Error: 1.1881 | Accuracy: 70.30%
Epoch: 255000 | Error: 1.1881 | Accuracy: 70.30%
Epoch: 256000 | Error: 1.1880 | Accuracy: 70.30%
Epoch: 257000 | Error: 1.1879 | Accuracy: 70.30%
Epoch: 258000 | Error: 1.1879 | Accuracy: 70.30%
Epoch: 259000 | Error: 1.1878 | Accuracy: 70.30%
Epoch: 260000 | Error: 1.1878 | Accuracy: 70.31%
Epoch: 261000 | Error: 1.1877 | Accuracy: 70.31%
Epoch: 262000 | Error: 1.1876 | Accuracy: 70.31%
Epoch: 263000 | Error: 1.1876 | Accuracy: 70.31%
Epoch: 264000 | Error: 1.1875 | Accuracy: 70.31%
Epoch: 265000 | Error: 1.1875 | Accuracy: 70.31%
Epoch: 266000 | Error: 1.1874 | Accuracy: 70.31%
Epoch: 267000 | Error: 1.1874 | Accuracy: 70.32%
Epoch: 268000 | Error: 1.1873 | Accuracy: 70.32%
Epoch: 269000 | Error: 1.1872 | Accuracy: 70.32%
Epoch: 270000 | Error: 1.1872 | Accuracy: 70.32%
Epoch: 271000 | Error: 1.1871 | Accuracy: 70.32%
Epoch: 272000 | Error: 1.1871 | Accuracy: 70.32%
Epoch: 273000 | Error: 1.1870 | Accuracy: 70.32%
Epoch: 274000 | Error: 1.1870 | Accuracy: 70.33%
Epoch: 275000 | Error: 1.1869 | Accuracy: 70.33%
Epoch: 276000 | Error: 1.1869 | Accuracy: 70.33%
Epoch: 277000 | Error: 1.1868 | Accuracy: 70.33%
Epoch: 278000 | Error: 1.1868 | Accuracy: 70.33%
Epoch: 279000 | Error: 1.1867 | Accuracy: 70.33%
Epoch: 280000 | Error: 1.1867 | Accuracy: 70.33%
Epoch: 281000 | Error: 1.1866 | Accuracy: 70.34%
Epoch: 282000 | Error: 1.1865 | Accuracy: 70.34%
Epoch: 283000 | Error: 1.1865 | Accuracy: 70.34%
Epoch: 284000 | Error: 1.1864 | Accuracy: 70.34%
Epoch: 285000 | Error: 1.1864 | Accuracy: 70.34%
Epoch: 286000 | Error: 1.1863 | Accuracy: 70.34%
Epoch: 287000 | Error: 1.1863 | Accuracy: 70.34%
Epoch: 288000 | Error: 1.1862 | Accuracy: 70.34%
Epoch: 289000 | Error: 1.1862 | Accuracy: 70.35%
Epoch: 290000 | Error: 1.1861 | Accuracy: 70.35%
Epoch: 291000 | Error: 1.1861 | Accuracy: 70.35%
Epoch: 292000 | Error: 1.1860 | Accuracy: 70.35%
Epoch: 293000 | Error: 1.1860 | Accuracy: 70.35%
Epoch: 294000 | Error: 1.1860 | Accuracy: 70.35%
Epoch: 295000 | Error: 1.1859 | Accuracy: 70.35%
Epoch: 296000 | Error: 1.1859 | Accuracy: 70.35%
Epoch: 297000 | Error: 1.1858 | Accuracy: 70.35%
Epoch: 298000 | Error: 1.1858 | Accuracy: 70.36%
Epoch: 299000 | Error: 1.1857 | Accuracy: 70.36%
Epoch: 300000 | Error: 1.1857 | Accuracy: 70.36%
Epoch: 301000 | Error: 1.1856 | Accuracy: 70.36%
Epoch: 302000 | Error: 1.1856 | Accuracy: 70.36%
Epoch: 303000 | Error: 1.1855 | Accuracy: 70.36%
Epoch: 304000 | Error: 1.1855 | Accuracy: 70.36%
